gamma,net_arch,log_prob_loss,target_log_probs,target_back_probs,reward_type,adv_coef,horizon,n_epochs,policy_name,n_traj,temp,n_trials,n_states,lr,val_coef,hard,use_returns,use_z,kl_coef,use_scheduler,scores_mean,scores_std,correls_mean,correls_std
0.99,"[8, 8]",kl,True,False,state,0.0,7,100,Hard Smax,100,5,5,6,0.001,0.0,True,True,True,1.0,False,0.6413462569071186,0.4407910751177973,0.397897904064764,0.29865556915785507
0.99,"[8, 8]",kl,True,False,next state only,1.0,7,100,Hard Smax,100,5,5,6,0.001,0.0,True,True,True,1.0,False,1.0,0.0,0.9001622980328818,0.036799275258913244
0.99,"[8, 8]",kl,True,True,next state only,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.5,True,True,True,1.0,False,0.06482185447647351,0.05679972561898427,0.13280182655598655,0.5163533723870892
0.99,"[8, 8]",kl,True,True,next state only,1.0,7,100,Hard Smax,100,5,5,6,0.001,0.0,True,True,True,1.0,False,1.0,0.0,0.909818162174768,0.05807246748633621
0.99,"[8, 8]",kl,True,False,next state only,0.0,7,100,Hard Smax,100,5,5,6,0.001,0.0,True,True,True,1.0,False,0.6591925542346552,0.3979717661684552,0.5621527915927542,0.24995448932928538
0.99,"[8, 8]",kl,True,False,next state only,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.5,True,True,True,1.0,False,0.14231414173825332,0.059833642036470285,0.39326999297265164,0.1090814292738504
0.99,"[8, 8]",kl,True,True,state,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.5,True,True,True,1.0,False,0.26677844108605536,0.36996176740813513,-0.09860011251284313,0.4200435834532549
0.99,"[8, 8]",kl,True,False,state,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.5,True,True,True,1.0,False,0.17226276280988162,0.0,-0.12739273364758888,0.09356785442732352
0.99,"[8, 8]",kl,True,True,next state only,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.5,True,True,True,1.0,False,0.11029707992229972,0.06005797762806833,0.06863505676255185,0.17338550253538307
0.99,"[8, 8]",kl,True,False,next state only,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.5,True,True,True,1.0,False,0.13108521218532868,0.05282348176001215,0.5125526537679679,0.14281949785644035
0.99,"[8, 8]",kl,True,False,state,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.5,True,True,True,1.0,False,0.172251281847705,2.296192435324862e-05,-0.1262302623584722,0.20912788088015244
0.99,"[8, 8]",kl,True,True,state,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.5,True,True,True,1.0,False,0.17114689961786775,0.002224734642608241,-0.26273197367088585,0.5532901319682291
0.99,"[8, 8]",kl,True,True,state,1.0,7,100,Hard Smax,100,5,5,6,0.001,0.0,True,True,True,1.0,False,0.6689051051239526,0.40550677444337635,0.6447969092490673,0.24626807300942752
0.99,"[8, 8]",kl,True,True,next state only,0.0,7,100,Hard Smax,100,1,5,6,0.001,0.5,True,True,True,1.0,False,0.18467188391188172,0.1304242270913343,-0.12566786029316301,0.38289616389132974
0.99,"[8, 8]",kl,True,False,next state only,0.0,7,100,Hard Smax,100,1,5,6,0.001,0.5,True,True,True,1.0,False,0.09541449802334603,0.06565629126936756,0.5921638592867072,0.09908273198599009
0.99,"[8, 8]",kl,True,True,state,0.0,7,100,Hard Smax,100,1,5,6,0.001,0.5,True,True,True,1.0,False,0.221975530999458,0.26753422857611897,0.23295082353579938,0.3708706779719052
0.99,"[8, 8]",kl,True,False,state,1.0,7,100,Hard Smax,100,5,5,6,0.001,0.0,True,True,True,1.0,False,0.9999332036060775,0.00013359278784492724,0.809972620689264,0.19250042796648636
0.99,"[8, 8]",kl,True,True,next state only,1.0,7,100,Hard Smax,100,1,5,6,0.001,0.5,True,True,True,1.0,False,0.15649115677108338,0.023566704812481527,0.2321203919045202,0.23491756894489677
0.99,"[8, 8]",kl,True,True,next state only,0.0,7,100,Hard Smax,20,5,5,6,0.001,0.5,True,True,True,1.0,False,0.5033576576859289,0.4055067744433763,0.4369804456991533,0.33938369151528686
0.99,"[8, 8]",kl,True,False,next state only,0.0,7,100,Hard Smax,20,5,5,6,0.001,0.5,True,True,True,1.0,False,0.11974297631352607,0.06449397534685847,0.273888634478371,0.36213663294932413
0.99,"[8, 8]",kl,True,False,state,0.0,7,100,Hard Smax,100,1,5,6,0.001,0.5,True,True,True,1.0,False,0.17225725996573302,1.1005688297205385e-05,-0.06744598070746409,0.22814912383280536
0.99,"[8, 8]",kl,True,False,state,0.0,7,100,Hard Smax,20,5,5,6,0.001,0.5,True,True,True,1.0,False,0.10204627948616915,0.06756116726456479,0.11978236144822878,0.4792826785119215
0.99,"[8, 8]",kl,True,True,next state only,1.0,7,100,Hard Smax,20,5,5,6,0.001,0.5,True,True,True,1.0,False,0.33757951558385446,0.33063350554794574,0.39075573618011916,0.2150597176384868
0.99,"[8, 8]",kl,True,False,next state only,1.0,7,100,Hard Smax,20,5,5,6,0.001,0.5,True,True,True,1.0,False,0.6689051051239527,0.4055067744433763,0.37019632962308113,0.13166414966308565
0.99,"[8, 8]",kl,True,True,state,1.0,7,100,Hard Smax,20,5,5,6,0.001,0.5,True,True,True,1.0,False,0.3378102102479053,0.3310948948760474,0.38979617279350187,0.20129691454900067
0.99,"[8, 8]",kl,True,False,next state only,1.0,7,100,Hard Smax,100,1,5,6,0.001,0.5,True,True,True,1.0,False,0.14742639718813308,0.043174884964697076,0.47529803218438216,0.30569989879736315
0.99,"[8, 8]",kl,True,False,state,1.0,7,100,Hard Smax,20,5,5,6,0.001,0.5,True,True,True,1.0,False,0.33742577865676876,0.3303998391058247,0.29758657120168497,0.34301054061455954
0.99,"[8, 8]",kl,True,True,state,0.0,7,100,Hard Smax,20,5,5,6,0.001,0.5,True,True,True,1.0,False,0.31229745271896364,0.34738246411116686,0.36636653386082285,0.2940199174924076
0.99,"[8, 8]",kl,True,False,state,1.0,7,100,Hard Smax,100,1,5,6,0.001,0.5,True,True,True,1.0,False,0.15795617337973525,0.028574588024282938,0.04739580123983487,0.2389443432120655
0.99,"[8, 8]",kl,True,True,state,1.0,7,100,Hard Smax,100,1,5,6,0.001,0.5,True,True,True,1.0,False,0.1367478781248829,0.04722814410876516,-0.20010737657783711,0.3574481988969477
0.99,"[8, 8]",kl,True,False,next state only,0.0,7,100,Hard Smax,100,5,5,6,0.001,0.5,True,True,True,1.0,False,0.1331353814530085,0.0499906587752021,0.06266720782078683,0.303439883530629
0.99,"[8, 8]",kl,True,True,next state only,0.0,7,100,Hard Smax,100,5,5,6,0.001,0.5,True,True,True,1.0,False,1.0,0.0,0.8425031908685338,0.010932207743226658
0.99,"[8, 8]",kl,True,True,next state only,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,False,True,True,1.0,False,0.1290019030827571,0.05734901998120231,0.26863835202703373,0.18760269428671897
0.99,"[8, 8]",kl,True,False,next state only,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,False,True,True,1.0,False,0.172252513026049,1.9813282968642206e-05,0.24933145672038542,0.1176619950570757
0.99,"[8, 8]",kl,True,True,next state only,1.0,7,100,Hard Smax,100,5,5,6,0.001,0.5,True,True,True,1.0,False,0.8344525525619764,0.3310948948760474,0.7435915275424705,0.17657055325295878
0.99,"[8, 8]",kl,True,True,state,0.0,7,100,Hard Smax,100,5,5,6,0.001,0.5,True,True,True,1.0,False,1.0,0.0,0.8570830989422105,0.02005131791974319
0.99,"[8, 8]",kl,True,True,state,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,False,True,True,1.0,False,0.15729643404029797,0.029886859288416095,-0.007158477223073162,0.14258193322208373
0.99,"[8, 8]",kl,True,False,state,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,False,True,True,1.0,False,0.17223112048180403,2.4077030300071815e-05,0.08529890111590502,0.1333942672823466
0.99,"[8, 8]",kl,True,True,state,1.0,7,100,Hard Smax,100,5,5,6,0.001,0.5,True,True,True,1.0,False,0.8344525525619764,0.3310948948760474,0.7573250106693701,0.2018917075840245
0.99,"[8, 8]",kl,True,True,next state only,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,False,True,True,1.0,False,0.1335402868479718,0.05372638549526234,0.03215246093777361,0.08528882856287306
0.99,"[8, 8]",kl,True,False,state,0.0,7,100,Hard Smax,100,5,5,6,0.001,0.5,True,True,True,1.0,False,0.2163535704347152,0.23892942742685733,0.26294701896040606,0.5778666439792334
0.99,"[8, 8]",kl,True,False,next state only,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,False,True,True,1.0,False,0.15664744990306717,0.031199129700812272,0.3558596670562781,0.19640656236740722
0.99,"[8, 8]",kl,True,True,state,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,False,True,True,1.0,False,0.15657176023692704,0.031366710648030253,0.0082865599881416,0.15285444098727397
0.99,"[8, 8]",kl,True,False,state,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,False,True,True,1.0,False,0.14508624146150637,0.054300322126291906,0.12419439684367617,0.15045155400590626
0.99,"[8, 8]",kl,True,False,state,1.0,7,100,Hard Smax,100,5,5,6,0.001,0.5,True,True,True,1.0,False,0.17226276280988162,0.0,0.4858344222889042,0.30249583299652477
0.99,"[8, 8]",kl,True,False,next state only,1.0,7,100,Hard Smax,100,5,5,6,0.001,0.5,True,True,True,1.0,False,0.9992083867508595,0.0007483578449919227,0.49357655755248586,0.2365887632104367
0.99,"[8, 8]",kl,True,True,next state only,0.0,7,100,Hard Smax,100,1,5,6,0.001,0.0,False,True,True,1.0,False,0.17224287537489352,2.5026723364873186e-05,0.2592836825621872,0.09221556717013732
0.99,"[8, 8]",kl,True,False,next state only,0.0,7,100,Hard Smax,100,1,5,6,0.001,0.0,False,True,True,1.0,False,0.17226276280988162,0.0,0.2820054610850722,0.08654760122805792
0.99,"[8, 8]",kl,True,True,next state only,1.0,7,100,Hard Smax,100,1,5,6,0.001,0.0,False,True,True,1.0,False,0.1710503148160015,0.002424895987760256,0.18403615901592235,0.1331807413604922
0.99,"[8, 8]",kl,True,True,next state only,0.0,7,100,Hard Smax,20,5,5,6,0.001,0.0,False,True,True,1.0,False,0.6689051051239527,0.4055067744433763,0.3310732319192963,0.2142668032872356
0.99,"[8, 8]",kl,True,False,next state only,1.0,7,100,Hard Smax,100,1,5,6,0.001,0.0,False,True,True,1.0,False,0.17224169680727341,2.580576269281747e-05,0.29610674295597683,0.17859299633301218
0.99,"[8, 8]",kl,True,False,state,0.0,7,100,Hard Smax,100,1,5,6,0.001,0.0,False,True,True,1.0,False,0.17226276280988162,0.0,0.2604025710801619,0.04327436218392096
0.99,"[8, 8]",kl,True,True,state,0.0,7,100,Hard Smax,20,5,5,6,0.001,0.0,False,True,True,1.0,False,0.5033162998215,0.40545612688432364,0.35119352821702116,0.09138204512508252
0.99,"[8, 8]",kl,True,True,state,0.0,7,100,Hard Smax,100,1,5,6,0.001,0.0,False,True,True,1.0,False,0.1722541279234111,1.7269772941030936e-05,0.09356675997210684,0.14337896561090352
0.99,"[8, 8]",kl,True,False,next state only,0.0,7,100,Hard Smax,20,5,5,6,0.001,0.0,False,True,True,1.0,False,0.1435145736505689,0.05749637831862544,0.5134036724240894,0.2191563765896843
0.99,"[8, 8]",kl,True,False,state,0.0,7,100,Hard Smax,20,5,5,6,0.001,0.0,False,True,True,1.0,False,0.11558056576625315,0.0697131170843708,0.3711470031021921,0.20635252098079862
0.99,"[8, 8]",kl,True,True,next state only,1.0,7,100,Hard Smax,20,5,5,6,0.001,0.0,False,True,True,1.0,False,0.3222074973981515,0.3402404834478677,0.3520351305229009,0.2974525859758336
0.99,"[8, 8]",kl,True,False,next state only,1.0,7,100,Hard Smax,20,5,5,6,0.001,0.0,False,True,True,1.0,False,0.6681782078283673,0.40491342407773884,0.5308447781686152,0.2415884403964634
0.99,"[8, 8]",kl,True,True,state,1.0,7,100,Hard Smax,20,5,5,6,0.001,0.0,False,True,True,1.0,False,0.4873953251829864,0.4187761137698798,0.45094880611161703,0.130664710527902
0.99,"[8, 8]",kl,True,False,state,1.0,7,100,Hard Smax,20,5,5,6,0.001,0.0,False,True,True,1.0,False,0.6633193421859642,0.4010684519953444,0.5026241273740129,0.19331847372467428
0.99,"[8, 8]",kl,True,True,state,1.0,7,100,Hard Smax,100,1,5,6,0.001,0.0,False,True,True,1.0,False,0.17224315266088897,2.474830260610413e-05,0.11189804481574614,0.08201453771856884
0.99,"[8, 8]",kl,True,False,next state only,0.0,7,100,Hard Smax,100,5,5,6,0.001,0.0,False,True,True,1.0,False,0.33778603263472545,0.33104653964968767,0.7265113182320013,0.14264724912252544
0.99,"[8, 8]",kl,True,True,next state only,0.0,7,100,Hard Smax,100,5,5,6,0.001,0.0,False,True,True,1.0,False,1.0,0.0,0.9117633998874057,0.036640568338477765
0.99,"[8, 8]",kl,True,True,state,0.0,7,100,Hard Smax,100,5,5,6,0.001,0.0,False,True,True,1.0,False,0.8344525525619764,0.3310948948760474,0.8569468717240147,0.15644396899423968
0.99,"[8, 8]",kl,True,True,next state only,1.0,7,100,Hard Smax,100,5,5,6,0.001,0.0,False,True,True,1.0,False,1.0,0.0,0.9187239003624695,0.016777900004947277
0.99,"[8, 8]",kl,True,False,state,1.0,7,100,Hard Smax,100,1,5,6,0.001,0.0,False,True,True,1.0,False,0.17226276280988162,0.0,0.10257136195214345,0.16980480669475187
0.99,"[8, 8]",kl,True,False,state,0.0,7,100,Hard Smax,100,5,5,6,0.001,0.0,False,True,True,1.0,False,0.17225192604715361,2.1673525456011866e-05,0.31654011740914123,0.2598279000987639
0.99,"[8, 8]",kl,True,True,next state only,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.5,False,True,True,1.0,False,0.14275207425609768,0.05899555257076823,0.2019090670499153,0.21045842558456807
0.99,"[8, 8]",kl,True,False,next state only,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.5,False,True,True,1.0,False,0.17226214268321655,1.240253330136998e-06,0.4430129861317106,0.0449344612158336
0.99,"[8, 8]",kl,True,True,state,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.5,False,True,True,1.0,False,0.15056734560489024,0.04335411646622509,-0.1640049989494386,0.18353018936049603
0.99,"[8, 8]",kl,True,False,next state only,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.5,False,True,True,1.0,False,0.17226276280988162,0.0,0.343590806461248,0.13448765700276885
0.99,"[8, 8]",kl,True,True,next state only,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.5,False,True,True,1.0,False,0.14518317065976122,0.054147620207811824,0.21873822138858096,0.22343544455491848
0.99,"[8, 8]",kl,True,False,next state only,1.0,7,100,Hard Smax,100,5,5,6,0.001,0.0,False,True,True,1.0,False,0.6134812849327702,0.473387410526885,0.6638067784514364,0.3398245906862065
0.99,"[8, 8]",kl,True,True,state,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.5,False,True,True,1.0,False,0.17226276280988162,0.0,-0.19119714227217366,0.15491347464301639
0.99,"[8, 8]",kl,True,False,state,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.5,False,True,True,1.0,False,0.17226276280988162,0.0,-0.1739874129574307,0.14522814190392397
0.99,"[8, 8]",kl,True,False,state,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.5,False,True,True,1.0,False,0.17226276280988162,0.0,-0.09740825239472614,0.07546740655818224
0.99,"[8, 8]",kl,True,False,state,1.0,7,100,Hard Smax,100,5,5,6,0.001,0.0,False,True,True,1.0,False,0.8344525525619764,0.3310948948760474,0.6674544357848938,0.3672496174200833
0.99,"[8, 8]",kl,True,True,state,1.0,7,100,Hard Smax,100,5,5,6,0.001,0.0,False,True,True,1.0,False,1.0,0.0,0.8905252084690162,0.08261085807373782
0.99,"[8, 8]",kl,True,False,state,0.0,7,100,Hard Smax,100,1,5,6,0.001,0.5,False,True,True,1.0,False,0.17226276280988162,0.0,-0.31063117047703415,0.11101312659789801
0.99,"[8, 8]",kl,True,True,next state only,1.0,7,100,Hard Smax,100,1,5,6,0.001,0.5,False,True,True,1.0,False,0.17226276280988162,0.0,0.2636992572870619,0.15211051640804
0.99,"[8, 8]",kl,True,True,next state only,0.0,7,100,Hard Smax,100,1,5,6,0.001,0.5,False,True,True,1.0,False,0.17215267811475116,0.00022016939026097137,0.38241491370376035,0.11641556298040459
0.99,"[8, 8]",kl,True,False,next state only,0.0,7,100,Hard Smax,100,1,5,6,0.001,0.5,False,True,True,1.0,False,0.15417619654415127,0.036159691335832675,0.475718739608315,0.12367720315220095
0.99,"[8, 8]",kl,True,True,next state only,0.0,7,100,Hard Smax,20,5,5,6,0.001,0.5,False,True,True,1.0,False,0.6689051051239527,0.4055067744433763,0.5686473697048708,0.29779082167111176
0.99,"[8, 8]",kl,True,False,next state only,0.0,7,100,Hard Smax,20,5,5,6,0.001,0.5,False,True,True,1.0,False,0.14567725642692758,0.05313288795392604,0.2646972893834864,0.17534354804947247
0.99,"[8, 8]",kl,True,True,state,0.0,7,100,Hard Smax,20,5,5,6,0.001,0.5,False,True,True,1.0,False,0.6689051051239527,0.4055067744433763,0.4175423962383015,0.24568753407420166
0.99,"[8, 8]",kl,True,True,state,0.0,7,100,Hard Smax,100,1,5,6,0.001,0.5,False,True,True,1.0,False,0.17226276280988162,0.0,-0.3285853042152588,0.13859155409082047
0.99,"[8, 8]",kl,True,False,state,0.0,7,100,Hard Smax,20,5,5,6,0.001,0.5,False,True,True,1.0,False,0.11537572526613897,0.06976419659369758,0.06974891965181608,0.20161043209981327
0.99,"[8, 8]",kl,True,False,next state only,1.0,7,100,Hard Smax,20,5,5,6,0.001,0.5,False,True,True,1.0,False,0.17226276280988162,0.0,0.4212071918992534,0.16915380396156351
0.99,"[8, 8]",kl,True,True,next state only,1.0,7,100,Hard Smax,20,5,5,6,0.001,0.5,False,True,True,1.0,False,0.48392338574279564,0.4228660358497932,0.25862566510373747,0.4294688599512912
0.99,"[8, 8]",kl,True,True,state,1.0,7,100,Hard Smax,20,5,5,6,0.001,0.5,False,True,True,1.0,False,0.30802213921516636,0.3507646281533128,0.23611082719228862,0.3325041036714278
0.99,"[8, 8]",kl,True,True,state,1.0,7,100,Hard Smax,100,1,5,6,0.001,0.5,False,True,True,1.0,False,0.17226276280988162,0.0,-0.2626459314667987,0.06899388621026759
